,Username,Post Count,Post Count.1,Post Count.1.1,Post Count.1.1.1,Post Count.1.1.1.1,Post Count.1.1.1.1.1,Post Count.1.1.1.1.1.1,Post Count.1.1.1.1.1.1.1,Follower Count,First_image,Last_image,Posts_per_day
0,24mao,1616,1616,1616,1616,1616,1616,1616,1616,2894,2013-01-01,2021-04-21,0.53
1,_.denise.marie._,721,721,721,721,721,721,721,721,16573,2016-05-31,2021-03-08,0.41
2,__callmedana,542,542,542,542,542,542,542,542,4385,2012-07-25,2021-03-13,0.17
3,__mell.y.__,224,224,224,224,224,224,224,224,2233,2015-08-25,2021-03-15,0.11
4,_jovvita_,99,99,99,99,99,99,99,99,1123,2017-04-28,2021-03-08,0.07
5,_kasia9004_,2,2,2,2,2,2,2,2,2199,2021-02-23,2021-02-25,1.0
6,_mafact_,301,301,301,301,301,301,301,301,5087,2017-01-22,2021-03-08,0.2
7,abi_dickmann,51,51,51,51,51,51,51,51,1025,2020-02-03,2021-03-14,0.13
8,abi_lou89,187,187,187,187,187,187,187,187,1625,2016-09-16,2021-05-03,0.11
9,adamrollo,306,306,306,306,306,306,306,306,1162,2012-04-16,2021-03-14,0.09
10,adutchrobin,63,63,63,63,63,63,63,63,5167,2012-10-14,2021-05-01,0.02
11,alinabarsx,259,259,259,259,259,259,259,259,1660,2017-10-14,2021-04-20,0.2
12,alisawinkler,343,343,343,343,343,343,343,343,8711,2017-03-19,2021-03-15,0.24
13,amandabaldin,529,529,529,529,529,529,529,529,19423,2013-02-07,2021-05-03,0.18
14,ana_bistis_g,1059,1059,1059,1059,1059,1059,1059,1059,1867,2015-10-31,2021-05-02,0.53
15,andrewbylina,21,21,21,21,21,21,21,21,270,2018-02-14,2020-11-23,0.02
16,angelo.carlucci,563,563,563,563,563,563,563,563,652490,2017-09-08,2021-05-04,0.42
17,aniamosiejczuk,25,25,25,25,25,25,25,25,95156,2020-05-11,2021-05-01,0.07
18,anitarunner,1061,1061,1061,1061,1061,1061,1061,1061,3201,2013-05-24,2021-04-30,0.37
19,annafinessi,131,131,131,131,131,131,131,131,1031,2016-08-15,2021-05-03,0.08
20,anushree.bhattacharya_,107,107,107,107,107,107,107,107,142748,2019-12-15,2021-04-29,0.21
21,anwaythisside,42,42,42,42,42,42,42,42,306,2018-07-13,2021-03-02,0.04
22,apriljjackson,1016,1016,1016,1016,1016,1016,1016,1016,3260,2012-10-14,2021-03-08,0.33
23,apurdygoldendoodle,69,69,69,69,69,69,69,69,168,2020-11-07,2021-03-03,0.59
24,bambergbob,181,181,181,181,181,181,181,181,378,2015-09-08,2021-02-21,0.09
25,beccaejohns,677,677,677,677,677,677,677,677,1081,2012-07-04,2021-05-03,0.21
26,benfish_,87,87,87,87,87,87,87,87,158,2015-07-24,2021-01-23,0.04
27,benrussell47photography,199,199,199,199,199,199,199,199,210,2020-08-14,2021-03-15,0.93
28,cakesncycles,65,65,65,65,65,65,65,65,2648,2020-06-18,2021-03-15,0.24
29,carolina_uk_,206,206,206,206,206,206,206,206,11386,2013-02-08,2021-03-08,0.07
30,chris_momo_lifestyle,477,477,477,477,477,477,477,477,6530,2017-06-29,2021-04-30,0.34
31,clemence.rvlln,94,94,94,94,94,94,94,94,1867,2015-11-22,2021-02-22,0.05
32,crazee_canadia,203,203,203,203,203,203,203,203,71,2017-06-22,2021-03-14,0.15
33,cristinacristea27,117,117,117,117,117,117,117,117,21053,2016-04-17,2021-05-03,0.06
34,czarnula19coco,200,200,200,200,200,200,200,200,116809,2017-02-26,2021-04-30,0.13
35,dallafit_doza,1454,1454,1454,1454,1454,1454,1454,1454,21611,2012-09-23,2021-04-29,0.46
36,danamly,641,641,641,641,641,641,641,641,107054,2016-10-24,2021-04-30,0.39
37,danijelaknezevic,25,25,25,25,25,25,25,25,2531,2016-11-18,2021-05-01,0.02
38,darrsea,325,325,325,325,325,325,325,325,6401,2016-02-18,2021-03-08,0.18
39,datcassdoeee,209,209,209,209,209,209,209,209,92719,2014-11-21,2021-04-29,0.09
40,definitelyfrench,108,108,108,108,108,108,108,108,12243,2020-03-15,2021-03-13,0.3
